index,longitude,latitude,magnitude,sequential Days,depth,date,year,month,day,hour,minute,decimal Seconds
1,97.0057,27.0341,4.6,0,30.4,19/1/70,1970,1,19,12,57,29.08
2,93.912,27.4384,5.5,30.7917,12.8,19/2/70,1970,2,19,7,10,2.7
3,96.9312,26.8319,5.3,49.7083,22.3,10/3/70,1970,3,10,5,20,10.58
4,93.8912,24.922,5,53.25,55,13/3/70,1970,3,13,18,24,55.12
5,96.3108,26.4836,5.1,76.7083,87.4,6/4/70,1970,4,6,5,8,0.39
6,93.9991,24.0275,5.1,129.917,43.4,29/5/70,1970,5,29,10,33,59.51
7,88.71,25.5859,5.2,186.542,27.7,25/7/70,1970,7,25,1,35,25.94
10,94.9429,26.1063,5.3,190.917,71,29/7/70,1970,7,29,10,31,15.28
11,93.8019,24.6887,4.7,205.792,37.7,13/8/70,1970,8,13,7,0,43.27
12,91.6473,24.8731,5.1,220.542,30.4,28/8/70,1970,8,28,1,24,8.34
13,94.0168,21.7797,5,268.167,59.5,14/10/70,1970,10,14,16,51,38.57
14,91.6399,23.7407,5.5,378.792,31,2/2/71,1971,2,2,7,59,56.87
15,99.4572,25.2486,5.1,381.875,35,5/2/71,1971,2,5,9,10,38.05
16,96.1881,18.9762,4.8,432.583,35,28/3/71,1971,3,28,2,54,14.62
17,96.5569,26.1108,5,435.833,35,31/3/71,1971,3,31,8,16,23.22
18,94.8068,24.3189,5,482.833,112,17/5/71,1971,5,17,8,43,17.13
22,96.4861,25.2611,5.3,496.708,16.3,31/5/71,1971,5,31,5,13,59.63
23,94.3267,23.7838,4.8,513.333,10,16/6/71,1971,6,16,20,6,14.36
24,94.7292,24.659,5.1,522.583,78.3,26/6/71,1971,6,26,2,16,38.92
25,93.1212,26.4538,5.5,544.125,41.1,17/7/71,1971,7,17,15,0,56.23
28,96.3886,15.2094,4.6,600.083,15,11/9/71,1971,9,11,14,54,37.76
29,95.9004,22.9314,5,629.25,22.9,10/10/71,1971,10,10,18,25,15.95
